id,category_id,title,description,latitude,longitude,regionId,image,video_url
1767534320854,17310010093,스무고개,스무고개,0.3241,-0.5287,밀향 시장
1767534522369,17310010093,스무고개,스무고개,-0.019398,-0.53936,회남 절벽
1767534771969,17310010093,스무고개,스무고개,0.210456,-0.955381,황궁 후원 남쪽
1767534946236,17310010093,스무고개,스무고개,0.519784,-0.890064,금명지
1767535048891,17310010093,스무고개,스무고개,0.144539,0.134239,임진 나루
1767535142407,17310010093,스무고개,스무고개,0.617282,-0.338173,연희 거리
1767535235813,17310010093,스무고개,스무고개,0.803692,-0.473442,개봉부
1767535286472,17310010093,스무고개,스무고개,0.889857,-0.381432,취화음
1767535372801,17310010093,스무고개,스무고개,1.200169, -0.653687,수창방
1767535433327,17310010093,스무고개,스무고개,1.220077, -0.514469,수창방
1767535557824,17310010093,스무고개,스무고개,1.019615, -0.166340,청심원
1767535646238,17310010093,스무고개,스무고개,1.342098, -0.517044,백마 나루
1767535738744,17310010093,스무고개,스무고개,1.367153, -0.768614,개봉 북쪽 외곽
1767535821250,17310010093,스무고개,스무고개,0.752542, -0.952892,만승촌
1767535851442,17310010093,스무고개,스무고개,1.499806, -0.734711,천승래
